table_schema,table_name,column_name,foreign_table_schema,foreign_table_name,foreign_column_name,constraint_name,update_rule,delete_rule
public,comment_likes,comment_id,public,comments,id,comment_likes_comment_id_fkey,NO ACTION,CASCADE
public,comments,author_id,public,profiles,id,comments_author_id_fkey,NO ACTION,CASCADE
public,comments,author_id,public,profiles,id,fk_comments_author_id_profiles,NO ACTION,RESTRICT
public,comments,parent_comment_id,public,comments,id,comments_parent_comment_id_fkey,NO ACTION,CASCADE
public,comments,post_id,public,posts,id,comments_post_id_fkey,NO ACTION,CASCADE
public,comments,post_id,public,posts,id,fk_comments_post_id_posts,NO ACTION,CASCADE
public,community_notes,user_id,public,profiles,id,community_notes_user_id_fkey,NO ACTION,CASCADE
public,conversation_members,conversation_id,public,conversations,id,conversation_members_conversation_id_fkey,NO ACTION,CASCADE
public,conversation_members,user_id,public,profiles,id,conversation_members_user_id_fkey,NO ACTION,CASCADE
public,formats,channel_id,public,channels,id,formats_channel_id_fkey,NO ACTION,CASCADE
public,messages,conversation_id,public,conversations,id,messages_conversation_id_fkey,NO ACTION,CASCADE
public,messages,sender_id,public,profiles,id,messages_sender_id_fkey,NO ACTION,CASCADE
public,notifications,actor_id,public,profiles,id,notifications_actor_id_fkey,NO ACTION,SET NULL
public,notifications,user_id,public,profiles,id,notifications_user_id_fkey,NO ACTION,CASCADE
public,post_bookmarks,post_id,public,posts,id,post_bookmarks_post_id_fkey,NO ACTION,CASCADE
public,post_reaction_votes,post_id,public,posts,id,post_reaction_votes_post_id_fkey,NO ACTION,CASCADE
public,post_reaction_votes,post_id,public,posts,id,fk_prv_post_id_posts,NO ACTION,CASCADE
public,post_reaction_votes,reaction_key,public,reactions,key,post_reaction_votes_reaction_key_fkey,NO ACTION,RESTRICT
public,post_reaction_votes,reaction_key,public,reactions,key,fk_prv_reaction_key_reactions,NO ACTION,RESTRICT
public,post_reaction_votes,voter_id,public,profiles,id,fk_prv_voter_id_profiles,NO ACTION,RESTRICT
public,post_tags,post_id,public,posts,id,post_tags_post_id_fkey,NO ACTION,CASCADE
public,post_tags,post_id,public,posts,id,fk_post_tags_post_id_posts,NO ACTION,CASCADE
public,post_tags,tag_id,public,tags,id,post_tags_tag_id_fkey,NO ACTION,CASCADE
public,post_tags,tag_id,public,tags,id,fk_post_tags_tag_id_tags,NO ACTION,CASCADE
public,post_votes,post_id,public,posts,id,post_votes_post_id_fkey,NO ACTION,CASCADE
public,post_votes,post_id,public,posts,id,fk_post_votes_post_id_posts,NO ACTION,CASCADE
public,post_votes,voter_id,public,profiles,id,fk_post_votes_voter_id_profiles,NO ACTION,RESTRICT
public,posts,author_id,public,profiles,id,posts_author_id_fkey,NO ACTION,SET NULL
public,posts,channel_id,public,channels,id,posts_channel_id_fkey,NO ACTION,NO ACTION
public,posts,format_id,public,formats,id,posts_format_id_fkey,NO ACTION,NO ACTION
public,posts,subcategory_tag_id,public,tags,id,posts_subcategory_tag_fk,NO ACTION,SET NULL
public,posts,subcategory_tag_id,public,tags,id,fk_posts_subcategory_tag_id_tags,NO ACTION,SET NULL
public,reactions,channel_id,public,channels,id,reactions_channel_id_fkey,NO ACTION,CASCADE
public,tags,channel_id,public,channels,id,tags_channel_id_fkey,NO ACTION,CASCADE
public,user_follows,follower_id,public,profiles,id,user_follows_follower_id_fkey,NO ACTION,CASCADE
public,user_follows,following_id,public,profiles,id,user_follows_following_id_fkey,NO ACTION,CASCADE